evidence_list,answer,query,question_type
"[{'author': 'Nick Brinkerhoff', 'category': 'sports', 'fact': 'The 49ers are coming off an emotional win over the Eagles after stomping the Seahawks on Thanksgiving.', 'published_at': '2023-12-07T22:18:00+00:00', 'source': 'Sporting News', 'title': 'DraftKings Picks Week 14: Best NFL DFS lineup advice for daily fantasy football tournaments', 'url': 'https://www.sportingnews.com/us/fantasy/news/draftkings-picks-week-14-nfl-dfs-lineup-advice-daily-fantasy/5b73c016f4a94135b9041952'}
 {'author': 'Bill Bender', 'category': 'sports', 'fact': 'From there, the Wolverines handled business for a third straight year in The Game in a 30-24 victory.', 'published_at': '2023-11-25T23:20:56+00:00', 'source': 'Sporting News', 'title': 'Michigan conquers Ohio State again, but the story is far from over for 2023 Wolverines', 'url': 'https://www.sportingnews.com/us/ncaa-football/news/michigan-conquers-ohio-state-again-story-far-over/797e0148646f5d0d76ae74ee'}]",no,Did the Sporting News article claim that the San Francisco 49ers were defeated by the Seahawks on Thanksgiving align with the Sporting News report on The Wolverines (Michigan football team) winning The Game for the third consecutive year in terms of both teams achieving recent victories?,comparison_query
"[{'author': 'Sarah Perez', 'category': 'technology', 'fact': 'Meta wants to shift the burden of monitoring social media usage among teens back to the app stores — and to parents.', 'published_at': '2023-11-15T17:13:10+00:00', 'source': 'TechCrunch', 'title': 'Meta seeks legislation that would require parents to approve teens’ app downloads', 'url': 'https://techcrunch.com/2023/11/15/meta-seeks-legislation-that-would-require-parents-to-approve-teens-app-downloads/'}
 {'author': 'Natasha Lomas', 'category': 'technology', 'fact': 'Following a content moderation warning from European Union regulators earlier this week, Meta has published an overview of how its responding to risks on its social media platforms stemming from the Israel-Hamas war.', 'published_at': '2023-10-13T12:43:45+00:00', 'source': 'TechCrunch', 'title': 'Meta says it’s prioritizing livestreaming checks during Israel-Hamas war', 'url': 'https://techcrunch.com/2023/10/13/meta-israel-hamas-war-response/'}
 {'author': 'Morgan Sung', 'category': 'technology', 'fact': 'Al Saadi said that her frustration with Meta is common among Palestinians, both in occupied territories and across the diaspora.', 'published_at': '2023-10-19T23:43:15+00:00', 'source': 'TechCrunch', 'title': 'Meta has a moderation bias problem, not just a ‘bug,’ that’s suppressing Palestinian voices', 'url': 'https://techcrunch.com/2023/10/19/meta-instagram-palestine-israel-shadowban-censorship-moderation-bias/'}]",Meta,"Which company, featured in TechCrunch articles, is both seeking to involve parents in the oversight of teens' app usage and addressing content moderation challenges related to livestreaming during the Israel-Hamas war, while also facing criticism for alleged moderation biases affecting Palestinian voices?",inference_query
"[{'author': 'Ben Weiss', 'category': 'business', 'fact': 'But “all of that, all of it, was built on lies,” Rehn declared to the jury.', 'published_at': '2023-10-04T23:32:53+00:00', 'source': 'Fortune', 'title': 'Is Sam Bankman-Fried a bad ‘man’ or a good ‘boy’? Lawyers swap opening statements before first witnesses take the stand', 'url': 'https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/'}
 {'author': 'Ben Weiss', 'category': 'business', 'fact': 'Using Caroline Ellison, his on-again off-again girlfriend and the CEO of Alameda, as a front, Bankman-Fried had “secret access” to customer money—both cash and crypto—the government claimed.', 'published_at': '2023-10-04T23:32:53+00:00', 'source': 'Fortune', 'title': 'Is Sam Bankman-Fried a bad ‘man’ or a good ‘boy’? Lawyers swap opening statements before first witnesses take the stand', 'url': 'https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/'}
 {'author': 'Kyle Wiggers', 'category': 'technology', 'fact': 'The prosecution painted Bankman-Fried as someone who knowingly committed fraud to achieve great wealth, power and influence, while the defense countered that the FTX founder acted in good faith, never meant to commit fraud or steal and basically got in over his head.', 'published_at': '2023-10-07T20:15:26+00:00', 'source': 'TechCrunch', 'title': 'Sam Altman backs teens’ startup, Google unveils the Pixel 8 and TikTok tests an ad-free tier', 'url': 'https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/'}]",no,"Did the report by Fortune on October 4, 2023, regarding Sam Bankman-Fried's alleged use of Caroline Ellison as a front at Alameda Research, and the subsequent report by TechCrunch involving Sam Bankman-Fried's alleged motives for committing fraud, portray Sam Bankman-Fried's actions inconsistently?",temporal_query
"[{'author': 'Nick Brinkerhoff', 'category': 'sports', 'fact': ""UPDATE: NFL Network's Ian Rapoport reported Sunday morning that Hockenson is expected to play against New Orleans."", 'published_at': '2023-11-11T21:17:00+00:00', 'source': 'Sporting News', 'title': ""Fantasy Injury Updates Week 10: News on Justin Jefferson, Ja'Marr Chase, T.J. Hockenson & Curtis Samuel"", 'url': 'https://www.sportingnews.com/us/fantasy/news/fantasy-injury-updates-week-10-jefferson-chase-hockenson/e836c8483a4efe09a42774e2'}
 {'author': 'Tyler Sullivan', 'category': 'sports', 'fact': ""Head coach Dennis Allen told reporters Friday that despite Olave being a full participant in Friday's practice he is still in concussion protocol though has a chance to play."", 'published_at': '2023-12-01T22:52:36+00:00', 'source': 'CBSSports.com', 'title': ""NFL Week 13 injuries: Browns to start Joe Flacco with Dorian Thompson-Robinson out, Saints' Olave questionable"", 'url': 'https://www.cbssports.com/nfl/news/nfl-week-13-injuries-browns-to-start-joe-flacco-with-dorian-thompson-robinson-out-saints-olave-questionable/'}]",no,"Does the Sporting News article expect T.J. Hockenson to sit out of the Sunday game, in contrast to the CBSSports.com article where Dennis Allen suggests Chris Olave, despite being a full participant in practice, is still uncertain to play due to concussion protocol?",comparison_query
"[{'author': 'David Pierce', 'category': 'technology', 'fact': '“Certainly there wasn’t a valid alternative to Google at the time,” Cue said.', 'published_at': '2023-09-26T17:01:22+00:00', 'source': 'The Verge', 'title': 'Apple defends Google Search deal in court: ‘There wasn’t a valid alternative’', 'url': 'https://www.theverge.com/2023/9/26/23891037/apple-eddy-cue-testimony-us-google'}
 {'author': 'Sarah Perez', 'category': 'technology', 'fact': 'The case, filed by Arkansas-based publisher Helena World Chronicle, argues that Google “siphons off” news publishers’ content, their readers and ad revenue through anticompetitive means.', 'published_at': '2023-12-15T17:56:02+00:00', 'source': 'TechCrunch', 'title': 'News publisher files class action antitrust suit against Google, citing AI’s harms to their bottom line', 'url': 'https://techcrunch.com/2023/12/15/news-publisher-files-class-action-antitrust-suit-against-google-citing-ais-harms-to-their-bottom-line/'}]",Google,"Which company is at the center of antitrust concerns according to a class action suit mentioned by TechCrunch and is also considered by Apple, as reported by The Verge, to have been the only valid option for search engine services at a certain negotiation time?",inference_query
"[{'author': 'Amber Raiken', 'category': 'entertainment', 'fact': 'In the picture, Swift could be seen standing next to Kelce, reaching to kiss his cheek.', 'published_at': '2023-10-30T20:56:51+00:00', 'source': 'The Independent - Life and Style', 'title': 'Travis Kelce faces backlash after comments about ‘finding a breeder’ resurface amid Taylor Swift romance', 'url': 'https://www.independent.co.uk/life-style/travis-kelce-taylor-swift-children-b2438558.html'}
 {'author': 'Nell Geraets', 'category': 'entertainment', 'fact': 'Swifties were immediately on high alert, with some capturing Swift and Kelce leaving the stadium together.', 'published_at': '2023-09-26T05:26:05+00:00', 'source': 'The Age', 'title': 'When pop culture and sport collide: A timeline of Taylor Swift’s NFL takeover', 'url': 'https://www.theage.com.au/culture/music/when-pop-culture-and-sport-collide-a-timeline-of-taylor-swift-s-nfl-takeover-20230926-p5e7lu.html?ref=rss&utm_medium=rss&utm_source=rss_culture'}
 {'author': 'Amber Raiken', 'category': 'entertainment', 'fact': 'The post came after Swift was seen enthusiastically cheering him on in the box seats at Arrowhead Stadium, fuelling speculation that she and the athlete are dating.', 'published_at': '2023-09-26T22:05:34+00:00', 'source': 'The Independent - Life and Style', 'title': 'Fans spot Travis Kelce wearing Taylor Swift-themed friendship bracelet before she attended his game', 'url': 'https://www.independent.co.uk/life-style/travis-kelce-taylor-swift-friendship-bracelet-b2419065.html'}]",Taylor Swift and Travis Kelce,"Which two celebrities, whose speculated romantic involvement was suggested by one being seen wearing a themed friendship bracelet and both being spotted at Arrowhead Stadium, with one cheering from the box seats and later seen leaving together, have been featured in articles by 'The Independent - Life and Style' and 'The Age'?",inference_query
"[{'author': 'Travis Pulver', 'category': 'sports', 'fact': ""Of Miami's five remaining opponents, four have pass defenses ranked in the league's top eight."", 'published_at': '2023-12-05T20:45:25+00:00', 'source': 'Sporting News', 'title': 'NFL awards odds: Six longshots bettors should consider for MVP, OPOY, DPOY and more', 'url': 'https://www.sportingnews.com/us/betting/news/nfl-awards-odds-longshots-mvp-opoy-dpoy/ed7dc8b5ba19eb3e71c53349'}
 {'author': 'Heath Cummings', 'category': 'sports', 'fact': ""152.67 -- After missing last week's game, Tyreek Hill now needs to average almost 153 yards per game in his final three to reach his stated goal of 2,000 receiving yards this season."", 'published_at': '2023-12-19T20:51:32+00:00', 'source': 'CBSSports.com', 'title': 'Fantasy Football Week 16 Wide Receiver Preview: Waiver adds, DFS plays, and more', 'url': 'https://www.cbssports.com/fantasy/football/news/fantasy-football-week-16-wide-receiver-preview-waiver-adds-dfs-plays-and-more/'}]",Yes,"Does the Sporting News article suggest a different challenge for Tyreek Hill in achieving 2,000-plus receiving yards compared to the challenge described by CBSSports.com, with the former focusing on the strength of opponents' pass defenses and the latter on the average yards per game Hill needs in his final three games?",comparison_query
"[{'author': 'Kris Holt', 'category': 'technology', 'fact': ""But, if rumors are to be believed, Apple's focus during the Scary Fast event will be on Macs and a fresh batch of chipsets to power them."", 'published_at': '2023-10-26T19:15:49+00:00', 'source': 'Engadget', 'title': ""What we expect at Apple's Scary Fast event: M3-powered MacBook Pros and new iMacs"", 'url': 'https://www.engadget.com/what-we-expect-at-apples-scary-fast-event-m3-powered-macbook-pros-and-new-imacs-191549274.html?src=rss'}
 {'author': 'Victoria Song', 'category': 'technology', 'fact': 'Apple has already indicated that it plans to appeal, but appealing is a lengthy process that can take around 18 months.', 'published_at': '2023-12-19T18:16:57+00:00', 'source': 'The Verge', 'title': 'Why the\xa0Apple Watch\xa0is being banned — and how Apple can avoid it', 'url': 'https://www.theverge.com/24006607/apple-watch-series-9-ultra-2-itc-import-ban'}
 {'author': 'Sean Hollister', 'category': 'technology', 'fact': 'They use their store, their payments, they force developers to all have the same terms, they force OEMs and carriers to all have the same terms.', 'published_at': '2023-12-12T19:17:14+00:00', 'source': 'The Verge', 'title': 'Tim Sweeney on Epic’s victory royale over Google', 'url': 'https://www.theverge.com/23996474/epic-tim-sweeney-interview-win-google-antitrust-lawsuit-district-court'}]",Apple,"What company, known for its upcoming 'Scary Fast event' focusing on Macs and new chipsets as reported by Engadget, is also involved in an 18-month appeal process against a patent dispute decision by the ITC and enforces uniform terms on developers, OEMs, and carriers through its store and payment system as covered by The Verge?",inference_query
"[{'author': 'Ben Weiss', 'category': 'business', 'fact': 'But “all of that, all of it, was built on lies,” Rehn declared to the jury.', 'published_at': '2023-10-04T23:32:53+00:00', 'source': 'Fortune', 'title': 'Is Sam Bankman-Fried a bad ‘man’ or a good ‘boy’? Lawyers swap opening statements before first witnesses take the stand', 'url': 'https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/'}
 {'author': 'Ben Weiss', 'category': 'business', 'fact': 'That answer ultimately lies with the jury, which was selected on Wednesday morning before lawyers for the government and then Bankman-Fried swapped two very different stories of the former crypto mogul’s sudden rise and almost instantaneous fall.', 'published_at': '2023-10-04T23:32:53+00:00', 'source': 'Fortune', 'title': 'Is Sam Bankman-Fried a bad ‘man’ or a good ‘boy’? Lawyers swap opening statements before first witnesses take the stand', 'url': 'https://fortune.com/crypto/2023/10/04/sam-bankman-fried-lawyers-opening-statements-witnesses-marc-antoine-julliard-adam-yedidia-ftx-commodities-trader-developer/'}
 {'author': 'Kyle Wiggers', 'category': 'technology', 'fact': 'The prosecution painted Bankman-Fried as someone who knowingly committed fraud to achieve great wealth, power and influence, while the defense countered that the FTX founder acted in good faith, never meant to commit fraud or steal and basically got in over his head.', 'published_at': '2023-10-07T20:15:26+00:00', 'source': 'TechCrunch', 'title': 'Sam Altman backs teens’ startup, Google unveils the Pixel 8 and TikTok tests an ad-free tier', 'url': 'https://techcrunch.com/2023/10/07/sam-altman-backs-a-teens-startup-google-unveils-the-pixel-8-and-tiktok-tests-an-ad-free-tier/'}]",Sam Bankman-Fried,"Who is the individual whose wealth and influence, as reported by both Fortune and TechCrunch, are under scrutiny by a jury due to allegations of achieving them through fraudulent means related to a crypto exchange?",inference_query
"[{'author': 'Tim Biggs', 'category': 'technology', 'fact': 'She admits that she may have misinterpreted the evidence, but maintains that Google manipulates Search to maximise ad revenue.', 'published_at': '2023-10-22T18:00:00+00:00', 'source': 'The Age', 'title': 'Is Google Search better than the rest? And is that fair?', 'url': 'https://www.theage.com.au/technology/is-google-search-better-than-the-rest-and-is-that-fair-20231012-p5ebsk.html?ref=rss&utm_medium=rss&utm_source=rss_technology'}
 {'author': 'David Pierce', 'category': 'technology', 'fact': 'The Justice Department is focused on the deals Google makes — with Apple but also with Samsung and Mozilla and many others — to ensure it is the default search engine on practically every platform.', 'published_at': '2023-09-26T17:01:22+00:00', 'source': 'The Verge', 'title': 'Apple defends Google Search deal in court: ‘There wasn’t a valid alternative’', 'url': 'https://www.theverge.com/2023/9/26/23891037/apple-eddy-cue-testimony-us-google'}
 {'author': 'Kyle Wiggers', 'category': 'technology', 'fact': 'Google compared the performance of Gemini Pro to GPT-4’s predecessor, GPT-3.5, a model that’s around a year old.', 'published_at': '2023-12-07T16:12:30+00:00', 'source': 'TechCrunch', 'title': 'Early impressions of Google’s Gemini aren’t great', 'url': 'https://techcrunch.com/2023/12/07/early-impressions-of-googles-gemini-arent-great/'}
 {'author': 'Sarah Perez', 'category': 'technology', 'fact': 'The case, filed by Arkansas-based publisher Helena World Chronicle, argues that Google “siphons off” news publishers’ content, their readers and ad revenue through anticompetitive means.', 'published_at': '2023-12-15T17:56:02+00:00', 'source': 'TechCrunch', 'title': 'News publisher files class action antitrust suit against Google, citing AI’s harms to their bottom line', 'url': 'https://techcrunch.com/2023/12/15/news-publisher-files-class-action-antitrust-suit-against-google-citing-ais-harms-to-their-bottom-line/'}]",Google,"Which company has been accused of both manipulating its search services to maximize ad revenue according to 'The Age' and entering into default search engine deals with tech giants like Apple as reported by 'The Verge', while also being critiqued for its product Gemini's performance by 'TechCrunch' and facing a class action antitrust suit from news publishers as per another 'TechCrunch' article?",inference_query
