id,question,answer
1,what is one of the stars of  The Newcomers known for,superhero roles as the Marvel Comics
2,"The fictional private detective that appears in ""The Adventure of the Seven Clocks"" what written by whom?",Sir Arthur Conan Doyle
3,The Distribution of Industry act was passed by a man who was prime minister when? ,1945 to 1951
4,"Sparking the Marian civil war, who helped the recently abdicated queen to escape her imprisonment?",the Queen's gaoler
5,In which county is the town in which Raymond Robertsen was born ?,"Finnmark county,"
6,What screenplay was worked on by both Edward Carfagno and Miklos Rozsa?,Julius Caesar
7,"Which Walt Disney film was produced first, The Apple Dumpling Gang or Something Wicked This Way Comes?",The Apple Dumpling Gang
8,Bethpage State Parkway begins with an interchange at which Long Island-based limited access highway?,Southern State Parkway
9,Are Colocasia and Coronilla both flowering plants?,yes
10,The 2000 ICC KnockOut Trophy was the debut of a Jamaican cricketer who is a right-handed what?,middle order batsman
11,Bytham Castle is a castle in the civil parish of how many houses?,300
12,"Which is located in Cornwall, Southwell Minster or Truro Cathedral?","The Cathedral of the Blessed Virgin Mary, Truro"
13,How do the Peter Laufer books Forbidden Creatures and No Animals Were Harmed differ in their focus on animals?,his own opinions changed
14,Who is a winner of the 2013 6 Hours of Silverstone a co-commentator for?,BBC Formula One
15,"Which 2009 animated film is from Japan, Summer Wars or The Secret of Kells?",Summer Wars
16,Are Steve Perry and Leslie West both singers?,yes
17,"In what year was the Golden State NBA player, who was part of the Cavaliers-Warriors rivalry, named NBA Finals Most Valuable Player?",2015
18,"What is the name of the actor who wrote the memoir Without you: A memoir of love, loss, and the Musical Rent and also stared as Mark Cohen in the Broadway production of ""Rent""?",Anthony Rapp
19,One Raffles Place is one of the tallest skyscrapers in the city of Singapore and tallest in the wolrd outside North America until it was succeeded by a Building in city?,Hong Kong
20,Where is the ice hockey team based that Zdeno Chára currently serving as captain of?,"Boston, Massachusetts"
21,Sand Mountainis part of the southern tip of a mountain chain in which part of North America ?,eastern North America
22,"At what intersection was the former home of the wooden roller coaster now located at Six Flags Great America in Gurnee, Illinois located?",North Avenue and First Avenue
23,"""Heartbreak Hurricane"" was recorded by which country artist, that also goes by the name Ricky Skaggs?",Rickie Lee Skaggs
24,The View from the Bottom is the fifth studio album by an American rock band best known for what hit song?,My Own Worst Enemy
25,This Experts Network sports analysts was inducted into the Pro Football Hall of Fame in 2000 and played in the NFL for how many seasons?,13 seasons
26,In between  Polytechnic University of the Philippines and California Polytechnic State University which was founded as a vocational high school?,California Polytechnic State University
27,Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes
28,Which historical drama filmed in the Winter Palace of the Russian State Hermitage Museum stars Sergey Dreyden?,Russian Ark
29,"Who was born first, Karen Joy Fowler or Bruce Chatwin?",Bruce Chatwin
30,"What WikiLeaks using whistleblower is notable for having a hacking organization with a user base of over 1,800,000?",Jeremy Hammond
31,"Egremont Castle is located in what market town, civil parish, and two electoral wards in the Borough of Copeland in Cumbria, England?",Egremont
32,"Which opera has more acts, La jolie fille de Perth or Mitridate, re di Ponto?","La jolie fille de Perth ""(The Fair Maid of Perth)"" is an opera in four acts"
33,What subsidiary of the largest airline of the Republic of China (Taiwan) has a main hub at Taichung Airport?,Mandarin Airlines
34,What is the name of the former MGM Grand Garden Special Events Center where the Mayweather-Ortiz fight took place?,MGM Grand Garden Arena
35,Who created the NBC sitcom that Johnny Pemberton appears in as the character Bo Thompson?,Justin Spitzer
36,Which aircraft engine powers a General Dynamics aircraft of which over 4500 have been built?,Pratt & Whitney F100
37,Which British racing driver has raced for 7 different teams and won the European Grand Prix in 1999?,Johnny Herbert
38,In what city can a person find both the Nusretiye Clock Tower and the Eski Imaret Mosque be found?,"Istanbul, Turkey"
39,"Which English musician is known for both the songs ""See Yourself"" and ""Withing You Without You""?",George Harrison
40,"Who has written more than 300 papers, Semyon Aranovich Gershgorin or Pavel Alexandrov?",Pavel Sergeyevich Alexandrov
41,Which software application was originally made for the company that acquired RadioShack in 1963?,DeskMate
42,Who wrote Bring Me Sunshine and where did they write it?,Bring Me Sunshine (1994) was originally a three-part retrospective in tribute to Eric Morecambe
43,What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,John John Florence
44,Bill Nelson flew as a Payload Specialist on a Space Shuttle launched for the first time in what year?,1981
45,"The actress and singer Heather Morris is best known for her role in which series, becoming a regular character in the second season?",Glee
46,What age was Georgia Middleman when she started singing in the seventh-most populated city in the United States?,ten
47,Stockely Webster has paintings hanging in what home (that serves as the residence for the Mayor of New York)?,Gracie Mansion
48,What composer with an Italian libretto was born 4 March 1678?,Antonio Lucio Vivaldi
49,Ellie Parker is a 2005 American drama-comedy film whose title character is played by an English actress who made her screen debut in what Australian drama film?,For Love Alone
50,A scam involving a male calling small town fast-food restaurants and pretending to be a police officer to have them strip search employees was turned into a movie of what name?,Compliance
51,Faith Goldy got fired after an interview she gave on what production site edited by Andrew Anglin?,The Daily Stormer
52,What is the current home arena of the NHL team Chris Summers plays for?,PPG Paints Arena
53,Where is the headquarters for the service broadcaster the show Tenko is on?,Broadcasting House in London
54,"Meghan Strange is an American actress and voice actress, known for her role as Robin on what American animated television series produced for Disney Channel?",Sofia the First
